transaction_id,customer_id,transaction_date,amount,currency,transaction_type,merchant,country,status
TXN001,CUST101,2026-07-01 10:30:00,2500.00,INR,DEBIT,Amazon,India,SUCCESS
TXN002,CUST102,2026-07-01 11:15:00,1200.50,INR,CREDIT,Flipkart,India,SUCCESS
TXN003,CUST103,2026-07-01 12:45:00,850.00,INR,DEBIT,Swiggy,India,SUCCESS
TXN004,CUST101,2026-07-02 09:20:00,15000.00,INR,TRANSFER,HDFC Bank,India,SUCCESS
TXN005,CUST104,2026-07-02 14:10:00,3200.75,USD,DEBIT,Amazon,USA,SUCCESS
TXN006,CUST105,2026-07-03 16:30:00,,INR,DEBIT,Zomato,India,FAILED
TXN007,CUST106,INVALID_DATE,5000.00,INR,TRANSFER,ICICI Bank,India,SUCCESS
TXN008,CUST107,2026-07-04 18:00:00,-1500.00,INR,DEBIT,Flipkart,India,SUCCESS
TXN009,,2026-07-05 10:00:00,750.00,INR,CREDIT,Amazon,India,SUCCESS
TXN010,CUST108,2026-07-05 11:30:00,250000.00,INR,TRANSFER,Unknown Merchant,India,PENDING
TXN003,CUST103,2026-07-01 12:45:00,850.00,INR,DEBIT,Swiggy,India,SUCCESS
